abstract;author;categories;citable_docs._(3years);cites_/_doc._(2years);country;coverage;doi;eigenfactor_score;h_index;isbn;issn;issn1;issn2;issn3;jcr_value;keywords;publisher_x;publisher_y;ref._/_doc.;region;scimago_value;sjr_best_quartile;sourceid;title_csv;title_bib;total_cites;total_cites_(3years);total_docs._(2020);total_docs._(3years);total_refs.;type;type_publication;year
A view from computational journalism.;Diakopoulos, Nicholas;Computer Science (miscellaneous) (Q1);475.0;351.0;United States;1958-2020;10.1145/2844110;0.0178;214.0;;00010782;15577317;00010782;15577317;4.654;;Association for Computing Machinery (ACM);Association for Computing Machinery;1053.0;Northern America;967.0;Q1;13675.0;Communications of the acm;Accountability in algorithmic decision making;20742.0;4350.0;266.0;849.0;2801.0;journal;article;2016
Big data are large volumes of digital data that can be collected from disparate sources and are challenging to analyze. These data are often described with the five “Vs”: volume, velocity, variety, veracity, and value. Perioperative nurses contribute to big data through documentation in the electronic health record during routine surgical care, and these data have implications for clinical decision making, administrative decisions, quality improvement, and big data science. This article explores methods to improve the quality of perioperative nursing data and provides examples of how these data can be combined with broader nursing data for quality improvement. We also discuss a national action plan for nursing knowledge and big data science and how perioperative nurses can engage in collaborative actions to transform health care. Standardized perioperative nursing data has the potential to affect care far beyond the original patient.;Bonnie L. Westra and Jessica J. Peterson;Medical and Surgical Nursing (Q2);475.0;25.0;United States;1963-2020;10.1016/j.aorn.2016.07.009;0.0013;43.0;;00012092;18780369;00012092;18780369;0.676;big data, perioperative nursing, quality care, nursing knowledge, nursing informatics;"John Wiley &amp; Sons Inc.";;855.0;Northern America;222.0;Q2;27052.0;Aorn journal;Big data and perioperative nursing;1553.0;276.0;288.0;682.0;2461.0;journal;article;2016
Artificial intelligence (AI) is an overarching term for a multitude of technologies which are currently being discussed and introduced in several areas of medicine and in medical imaging specifically. There is, however, limited literature and information about how AI techniques can be integrated into the design of clinical imaging trials. This article will present several aspects of AI being used in trials today and how imaging departments and especially nuclear medicine departments can prepare themselves to be at the forefront of AI-driven clinical trials. Beginning with some basic explanation on AI techniques currently being used and existing challenges of its implementation, it will also cover the logistical prerequisites which have to be in place in nuclear medicine departments to participate successfully in AI-driven clinical trials.;Gaspar Delso and Davide Cirillo and Joshua D Kaggie and Alfonso Valencia and Ur Metser and Patrick Veit-Haibach;Radiology, Nuclear Medicine and Imaging (Q1);142.0;339.0;United Kingdom;1971-2020;10.1053/j.semnuclmed.2020.09.003;0.00264;88.0;;00012998;15584623;00012998;15584623;4.446;;W.B. Saunders Ltd;;7532.0;Western Europe;984.0;Q1;17894.0;Seminars in nuclear medicine;How to design ai-driven clinical trials in nuclear medicine;2729.0;562.0;56.0;174.0;4218.0;journal;article;2021
The railroad industry plays a principal role in the transportation infrastructure and economic prosperity of the United States, and safety is of the utmost importance. Trespassing is the leading cause of rail-related fatalities and there has been little progress in reducing the trespassing frequency and deaths for the past ten years in the United States. Although the widespread deployment of surveillance cameras and vast amounts of video data in the railroad industry make witnessing these events achievable, it requires enormous labor-hours to monitor real-time videos or archival video data. To address this challenge and leverage this big data, this study develops a robust Artificial Intelligence (AI)-aided framework for the automatic detection of trespassing events. This deep learning-based tool automatically detects trespassing events, differentiates types of violators, generates video clips, and documents basic information of the trespassing events into one dataset. This study aims to provide the railroad industry with state-of-the-art AI tools to harness the untapped potential of video surveillance infrastructure through the risk analysis of their data feeds in specific locations. In the case study, the AI has analyzed over 1,600 h of archival video footage and detected around 3,000 trespassing events from one grade crossing in New Jersey. The data generated from these big video data will potentially help understand human factors in railroad safety research and contribute to specific trespassing proactive safety risk management initiatives and improve the safety of the train crew, rail passengers, and road users through engineering, education, and enforcement solutions to trespassing.;Zhipeng Zhang and Asim Zaman and Jinxuan Xu and Xiang Liu;"Human Factors and Ergonomics (Q1); Law (Q1); Public Health, Environmental and Occupational Health (Q1); Safety, Risk, Reliability and Quality (Q1)";1034.0;555.0;United Kingdom;1969-2020;10.1016/j.aap.2022.106594;0.0204;152.0;;00014575;18792057;00014575;18792057;4.993;Trespassing, Railroad safety, Artificial Intelligence, Computer vision, Risk management;Elsevier Ltd.;;5321.0;Western Europe;1816.0;Q1;19532.0;Accident analysis and prevention;Artificial intelligence-aided railroad trespassing detection and data analytics: methodology and a case study;25323.0;5984.0;385.0;1041.0;20484.0;journal;article;2022
"Job search is a demanding and often demotivating process, challenging job-seekers' self-regulation. Particularly, mature-aged job seekers face lower reemployment chances – and may benefit from strategies known from the lifespan literature. The current study examined whether and when the use of aging strategies (elective selection, loss-based selection, optimization, and compensation; SOC strategies) can support mature-aged job seekers in their self-regulated job search process (goal establishment and goal pursuit). We collected data from 659 mature-aged job seekers in three countries (Germany, United Kingdom, and United States) at four different times over two months. Results of multi-level modeling showed no support for gain-oriented strategies, namely elective selection (prioritizing one instead of multiple goals) and optimization (investing every effort to reach one's goal). In contrast, loss-oriented strategies, namely loss-based selection (prioritizing or selecting a new goal after a setback) and compensation (using new or previously unused means in the face of obstacles), supported mature-aged job seekers' goal establishment and goal pursuit. Moreover, with increasing age, mature-aged job seekers reported lower reemployment efficacy (the confidence to find a new job), which moderated the relation between compensation with goal pursuit. Compensation was particularly helpful for mature-aged job seekers' goal pursuit in weeks in which they reported lower (vs. higher) reemployment efficacy. These findings highlight the importance of loss-oriented aging strategies as beneficial coping strategies. With regard to practice, the present study speaks to the benefits of SOC strategies and points to the development of interventions targeted toward mature-aged job seekers.";Henriette Watermann and Ulrike Fasbender and Ute-Christine Klehe;"Applied Psychology (Q1); Education (Q1); Life-span and Life-course Studies (Q1); Organizational Behavior and Human Resource Management (Q1)";304.0;558.0;United States;1971-2020;10.1016/j.jvb.2021.103591;0.00945;151.0;;00018791;10959084;00018791;10959084;6.065;Aging, Job search, Mature-aged job seekers, Reemployment efficacy, Self-regulation, SOC strategies;Academic Press Inc.;;7958.0;Northern America;2607.0;Q1;12006.0;Journal of vocational behavior;Predicting the self-regulated job search of mature-aged job seekers: the use of elective selection, loss-based selection, optimization, and compensation strategies;17077.0;2051.0;96.0;310.0;7640.0;journal;article;2021
This white paper provides a summary of presentations, discussions and conclusions of a Thinktank entitled “The Role of Endpoint Adjudication in Medical Device Clinical Trials”. The think tank was cosponsored by the Cardiac Safety Research Committee, MDEpiNet and the US Food and Drug Administration (FDA) and was convened at the FDA's White Oak headquarters on March 11, 2016. Attention was focused on tailoring best practices for evaluation of endpoints in medical device clinical trials, practical issues in endpoint adjudication of therapeutic, diagnostic, biomarker and drug-device combinations, and the role of adjudication in regulatory and reimbursement issues throughout the device lifecycle. Attendees included representatives from medical device companies, the FDA, Centers for Medicare and Medicaid Services (CMS), end point adjudication specialist groups, clinical research organizations, and active, academically based adjudicators. The manuscript presents recommendations from the think tank regarding (1) rationale for when adjudication is appropriate, (2) best practices establishment and operation of a medical device adjudication committee and (3) the role of endpoint adjudication for post market evaluation in the emerging era of real world evidence.;Jonathan H. Seltzer and Ted Heise and Peter Carson and Daniel Canos and Jo Carol Hiatt and Pascal Vranckx and Thomas Christen and Donald E. Cutlip;Cardiology and Cardiovascular Medicine (Q1);592.0;377.0;United States;1925-2020;10.1016/j.ahj.2017.05.009;0.0235;187.0;;00028703;10976744;00028703;10976744;4.749;;Mosby Inc.;;3000.0;Northern America;2925.0;Q1;22414.0;American heart journal;Use of endpoint adjudication to improve the quality and validity of endpoint assessment for medical device development and post marketing evaluation: rationale and best practices. a report from the cardiac safety research consortium;22202.0;2605.0;252.0;685.0;7559.0;journal;article;2017
C-reactive protein (CRP) is a sensitive biomarker of chronic low-grade inflammation and is associated with multiple complex diseases. The genetic determinants of chronic inflammation remain largely unknown, and the causal role of CRP in several clinical outcomes is debated. We performed two genome-wide association studies (GWASs), on HapMap and 1000 Genomes imputed data, of circulating amounts of CRP by using data from 88 studies comprising 204,402 European individuals. Additionally, we performed in silico functional analyses and Mendelian randomization analyses with several clinical outcomes. The GWAS meta-analyses of CRP revealed 58 distinct genetic loci (p < 5 × 10−8). After adjustment for body mass index in the regression analysis, the associations at all except three loci remained. The lead variants at the distinct loci explained up to 7.0% of the variance in circulating amounts of CRP. We identified 66 gene sets that were organized in two substantially correlated clusters, one mainly composed of immune pathways and the other characterized by metabolic pathways in the liver. Mendelian randomization analyses revealed a causal protective effect of CRP on schizophrenia and a risk-increasing effect on bipolar disorder. Our findings provide further insights into the biology of inflammation and could lead to interventions for treating inflammation and its clinical consequences.;Symen Ligthart and Ahmad Vaez and Urmo Võsa and Maria G. Stathopoulou and Paul S. {de Vries} and Bram P. Prins and Peter J. {Van der Most} and Toshiko Tanaka and Elnaz Naderi and Lynda M. Rose and Ying Wu and Robert Karlsson and Maja Barbalic and Honghuang Lin and René Pool and Gu Zhu and Aurélien Macé and Carlo Sidore and Stella Trompet and Massimo Mangino and Maria Sabater-Lleal and John P. Kemp and Ali Abbasi and Tim Kacprowski and Niek Verweij and Albert V. Smith and Tao Huang and Carola Marzi and Mary F. Feitosa and Kurt K. Lohman and Marcus E. Kleber and Yuri Milaneschi and Christian Mueller and Mahmudul Huq and Efthymia Vlachopoulou and Leo-Pekka Lyytikäinen and Christopher Oldmeadow and Joris Deelen and Markus Perola and Jing Hua Zhao and Bjarke Feenstra and Behrooz Z. Alizadeh and H. Marike Boezen and Lude Franke and Pim {van der Harst} and Gerjan Navis and Marianne Rots and Harold Snieder and Morris Swertz and Bruce H.R. Wolffenbuttel and Cisca Wijmenga and Marzyeh Amini and Emelia Benjamin and Daniel I. Chasman and Abbas Dehghan and Tarunveer Singh Ahluwalia and James Meigs and Russell Tracy and Behrooz Z. Alizadeh and Symen Ligthart and Josh Bis and Gudny Eiriksdottir and Nathan Pankratz and Myron Gross and Alex Rainer and Harold Snieder and James G. Wilson and Bruce M. Psaty and Josee Dupuis and Bram Prins and Urmo Vaso and Maria Stathopoulou and Lude Franke and Terho Lehtimaki and Wolfgang Koenig and Yalda Jamshidi and Sophie Siest and Ali Abbasi and Andre G. Uitterlinden and Mohammadreza Abdollahi and Renate Schnabel and Ursula M. Schick and Ilja M. Nolte and Aldi Kraja and Yi-Hsiang Hsu and Daniel S. Tylee and Alyson Zwicker and Rudolf Uher and George Davey-Smith and Alanna C. Morrison and Andrew Hicks and Cornelia M. {van Duijn} and Cavin Ward-Caviness and Eric Boerwinkle and J. Rotter and Ken Rice and Leslie Lange and Markus Perola and Eco {de Geus} and Andrew P. Morris and Kari Matti Makela and David Stacey and Johan Eriksson and Tim M. Frayling and Eline P. Slagboom and Jari Lahti and Katharina E. Schraut and Myriam Fornage and Bhoom Suktitipat and Wei-Min Chen and Xiaohui Li and Teresa Nutile and Giovanni Malerba and Jian’an Luan and Tom Bak and Nicholas Schork and Fabiola {Del Greco M.} and Elisabeth Thiering and Anubha Mahajan and Riccardo E. Marioni and Evelin Mihailov and Joel Eriksson and Ayse Bilge Ozel and Weihua Zhang and Maria Nethander and Yu-Ching Cheng and Stella Aslibekyan and Wei Ang and Ilaria Gandin and Loïc Yengo and Laura Portas and Charles Kooperberg and Edith Hofer and Kumar B. Rajan and Claudia Schurmann and Wouter {den Hollander} and Tarunveer S. Ahluwalia and Jing Zhao and Harmen H.M. Draisma and Ian Ford and Nicholas Timpson and Alexander Teumer and Hongyan Huang and Simone Wahl and YongMei Liu and Jie Huang and Hae-Won Uh and Frank Geller and Peter K. Joshi and Lisa R. Yanek and Elisabetta Trabetti and Benjamin Lehne and Diego Vozzi and Marie Verbanck and Ginevra Biino and Yasaman Saba and Ingrid Meulenbelt and Jeff R. O’Connell and Markku Laakso and Franco Giulianini and Patrik K.E. Magnusson and Christie M. Ballantyne and Jouke Jan Hottenga and Grant W. Montgomery and Fernando Rivadineira and Rico Rueedi and Maristella Steri and Karl-Heinz Herzig and David J. Stott and Cristina Menni and Mattias Frånberg and Beate {St. Pourcain} and Stephan B. Felix and Tune H. Pers and Stephan J.L. Bakker and Peter Kraft and Annette Peters and Dhananjay Vaidya and Graciela Delgado and Johannes H. Smit and Vera Großmann and Juha Sinisalo and Ilkka Seppälä and Stephen R. Williams and Elizabeth G. Holliday and Matthijs Moed and Claudia Langenberg and Katri Räikkönen and Jingzhong Ding and Harry Campbell and Michele M. Sale and Yii-Der I. Chen and Alan L. James and Daniela Ruggiero and Nicole Soranzo and Catharina A. Hartman and Erin N. Smith and Gerald S. Berenson and Christian Fuchsberger and Dena Hernandez and Carla M.T. Tiesler and Vilmantas Giedraitis and David Liewald and Krista Fischer and Dan Mellström and Anders Larsson and Yunmei Wang and William R. Scott and Matthias Lorentzon and John Beilby and Kathleen A. Ryan and Craig E. Pennell and Dragana Vuckovic and Beverly Balkau and Maria Pina Concas and Reinhold Schmidt and Carlos F. {Mendes de Leon} and Erwin P. Bottinger and Margreet Kloppenburg and Lavinia Paternoster and Michael Boehnke and A.W. Musk and Gonneke Willemsen and David M. Evans and Pamela A.F. Madden and Mika Kähönen and Zoltán Kutalik and Magdalena Zoledziewska and Ville Karhunen and Stephen B. Kritchevsky and Naveed Sattar and Genevieve Lachance and Robert Clarke and Tamara B. Harris and Olli T. Raitakari and John R. Attia and Diana {van Heemst} and Eero Kajantie and Rossella Sorice and Giovanni Gambaro and Robert A. Scott and Andrew A. Hicks and Luigi Ferrucci and Marie Standl and Cecilia M. Lindgren and John M. Starr and Magnus Karlsson and Lars Lind and Jun Z. Li and John C. Chambers and Trevor A. Mori and Eco J.C.N. {de Geus} and Andrew C. Heath and Nicholas G. Martin and Juha Auvinen and Brendan M. Buckley and Anton J.M. {de Craen} and Melanie Waldenberger and Konstantin Strauch and Thomas Meitinger and Rodney J. Scott and Mark McEvoy and Marian Beekman and Cristina Bombieri and Paul M. Ridker and Karen L. Mohlke and Nancy L. Pedersen and Alanna C. Morrison and Dorret I. Boomsma and John B. Whitfield and David P. Strachan and Albert Hofman and Peter Vollenweider and Francesco Cucca and Marjo-Riitta Jarvelin and J. Wouter Jukema and Tim D. Spector and Anders Hamsten and Tanja Zeller and André G. Uitterlinden and Matthias Nauck and Vilmundur Gudnason and Lu Qi and Harald Grallert and Ingrid B. Borecki and Jerome I. Rotter and Winfried März and Philipp S. Wild and Marja-Liisa Lokki and Michael Boyle and Veikko Salomaa and Mads Melbye and Johan G. Eriksson and James F. Wilson and Brenda W.J.H. Penninx and Diane M. Becker and Bradford B. Worrall and Greg Gibson and Ronald M. Krauss and Marina Ciullo and Gianluigi Zaza and Nicholas J. Wareham and Albertine J. Oldehinkel and Lyle J. Palmer and Sarah S. Murray and Peter P. Pramstaller and Stefania Bandinelli and Joachim Heinrich and Erik Ingelsson and Ian J. Deary and Reedik Mägi and Liesbeth Vandenput and Pim {van der Harst} and Karl C. Desch and Jaspal S. Kooner and Claes Ohlsson and Caroline Hayward and Terho Lehtimäki and Alan R. Shuldiner and Donna K. Arnett and Lawrence J. Beilin and Antonietta Robino and Philippe Froguel and Mario Pirastu and Tine Jess and Wolfgang Koenig and Ruth J.F. Loos and Denis A. Evans and Helena Schmidt and George Davey Smith and P. Eline Slagboom and Gudny Eiriksdottir and Andrew P. Morris and Bruce M. Psaty and Russell P. Tracy and Ilja M. Nolte and Eric Boerwinkle and Sophie Visvikis-Siest and Alex P. Reiner and Myron Gross and Joshua C. Bis and Lude Franke and Oscar H. Franco and Emelia J. Benjamin and Daniel I. Chasman and Josée Dupuis and Harold Snieder and Abbas Dehghan and Behrooz Z. Alizadeh;"Genetics (Q1); Genetics (clinical) (Q1)";523.0;900.0;United States;1950-2020;10.1016/j.ajhg.2018.09.009;0.0542;302.0;;00029297;15376605;00029297;15376605;11.025;C-reactive protein, genome-wide association study, inflammation, Mendelian randomization, inflammatory disorders, DEPICT, coronary artery disease, schizophrenia, system biology;Cell Press;;4750.0;Northern America;6661.0;Q1;21677.0;American journal of human genetics;Genome analyses of >200,000 individuals identify 58 loci for chronic inflammation and highlight pathways that link inflammation and complex disorders;43477.0;5815.0;168.0;571.0;7980.0;journal;article;2018
"Purpose
To characterize the role of Big Data in evaluating quality of care in ophthalmology, to highlight opportunities for studying quality improvement using data available in the American Academy of Ophthalmology Intelligent Research in Sight (IRIS) Registry, and to show how Big Data informs us about rare events such as endophthalmitis after cataract surgery.
Design
Review of published studies, analysis of public-use Medicare claims files from 2010 to 2013, and analysis of IRIS Registry from 2013 to 2014.
Methods
Statistical analysis of observational data.
Results
The overall rate of endophthalmitis after cataract surgery was 0.14% in 216 703 individuals in the Medicare database. In the IRIS Registry the endophthalmitis rate after cataract surgery was 0.08% among 511 182 individuals. Endophthalmitis rates tended to be higher in eyes with combined cataract surgery and anterior vitrectomy (P = .051), although only 0.08% of eyes had this combined procedure. Visual acuity (VA) in the IRIS Registry in eyes with and without postoperative endophthalmitis measured 1–7 days postoperatively were logMAR 0.58 (standard deviation [SD]: 0.84) (approximately Snellen acuity of 20/80) and logMAR 0.31 (SD: 0.34) (approximately Snellen acuity of 20/40), respectively. In 33 547 eyes with postoperative VA after cataract surgery, 18.3% had 1-month-postoperative VA worse than 20/40.
Conclusions
Big Data drawing on Medicare claims and IRIS Registry records can help identify additional areas for quality improvement, such as in the 18.3% of eyes in the IRIS Registry having 1-month-postoperative VA worse than 20/40. The ability to track patient outcomes in Big Data sets provides opportunities for further research on rare complications such as postoperative endophthalmitis and outcomes from uncommon procedures such as cataract surgery combined with anterior vitrectomy. But privacy and data-security concerns associated with Big Data should not be taken lightly.";Anne Louise Coleman;Ophthalmology (Q1);848.0;373.0;United States;1918-2020;10.1016/j.ajo.2015.09.028;0.0263;186.0;;00029394;00029394;18791891;00029394;5.258;;Elsevier USA;;2799.0;Northern America;2704.0;Q1;13266.0;American journal of ophthalmology;How big data informs us about cataract surgery: the lxxii edward jackson memorial lecture;32566.0;4453.0;428.0;1146.0;11979.0;journal;article;2015
Efficient and reliable analysis of chemical analytical data is a great challenge due to the increase in data size, variety and velocity. New methodologies, approaches and methods are being proposed not only by chemometrics but also by other data scientific communities to extract relevant information from big datasets and provide their value to different applications. Besides common goal of big data analysis, different perspectives and terms on big data are being discussed in scientific literature and public media. The aim of this comprehensive review is to present common trends in the analysis of chemical analytical data across different data scientific fields together with their data type-specific and generic challenges. Firstly, common data science terms used in different data scientific fields are summarized and discussed. Secondly, systematic methodologies to plan and run big data analysis projects are presented together with their steps. Moreover, different analysis aspects like assessing data quality, selecting data pre-processing strategies, data visualization and model validation are considered in more detail. Finally, an overview of standard and new data analysis methods is provided and their suitability for big analytical chemical datasets shortly discussed.;Ewa Szymańska;"Analytical Chemistry (Q1); Biochemistry (Q1); Environmental Chemistry (Q1); Spectroscopy (Q1)";2228.0;627.0;Netherlands;1947-2020;10.1016/j.aca.2018.05.038;0.03972;203.0;;00032670;00032670;18734324;00032670;6.558;Chemometrics, Data science, Big data, Chemical analytical data, Methodology;Elsevier;;5021.0;Western Europe;1403.0;Q1;23911.0;Analytica chimica acta;Modern data science for analytical chemical data – a comprehensive review;58170.0;14014.0;897.0;2235.0;45034.0;journal;article;2018
Despite the development of several tools for the analysis of the transcriptome data, non-availability of a standard pipeline for analyzing the low quality and fragmented mRNA samples pose a major challenge to the computational molecular biologist for effective interpretation of the data. Hence the present study aimed to establish a bioinformatics pipeline for analyzing the biologically fragmented sperm RNA. Sperm transcriptome data (2 x 75 PE sequencing) generated from bulls (n = 8) of high-fertile (n = 4) and low-fertile (n = 4) classified based on the fertility rate (41.52 ± 1.07 vs 36.04 ± 1.04%) were analyzed with different bioinformatics tools for alignment, quantitation, and differential gene expression studies. TopHat2 was effectual compared to HISAT2 and STAR for sperm mRNA due to the higher exonic (6% vs 2%) mapping percentage and quantitating the low expressed genes. TopHat2 also had significantly strong correlation with STAR (0.871, p = 0.05) and HISAT2 (0.933, p = 0.01). TopHat2 and Cufflinks combo quantitated the number of genes higher than the other combinations. Among the tools (Cuffdiff, DESeq, DESeq2, edgeR, and limma) used for the differential gene expression analysis, edgeR and limma identified the largest number of significantly differentially expressed genes (p < 0.05) with biological relevance. The concordance analysis concurred that edgeR had an edge over the other tools. It also identified a higher number (9.5%) of fertility-related genes to be differentially expressed between the two groups. The present study established that TopHat2, Cufflinks, and edgeR as a suitable pipeline for the analysis of fragmented mRNA from bovine spermatozoa.;Laxman Ramya and Divakar Swathi and Santhanahalli Siddalingappa Archana and Maharajan Lavanya and Sivashanmugam Parthipan and Sellappan Selvaraju;"Biophysics (Q2); Biochemistry (Q3); Cell Biology (Q3); Molecular Biology (Q3)";901.0;319.0;United States;1960-2020;10.1016/j.ab.2021.114141;0.010029999999999999;190.0;;00032697;10960309;00032697;10960309;3.365;Bioinformatics pipeline, Fragmented transcripts, Transcriptomics, Differential gene expression, Bovine spermatozoa;Academic Press Inc.;;4080.0;Northern America;633.0;Q2;16789.0;Analytical biochemistry;Establishment of bioinformatics pipeline for deciphering the biological complexities of fragmented sperm transcriptome;42950.0;2942.0;334.0;908.0;13628.0;journal;article;2021
