abstract;author;categories;citable_docs._(3years);cites_/_doc._(2years);country;coverage;doi;eigenfactor_score;h_index;isbn;issn;issn1;issn2;issn3;jcr_value;keywords;publisher_x;publisher_y;ref._/_doc.;region;scimago_value;sjr_best_quartile;sourceid;title_csv;title_bib;total_cites;total_cites_(3years);total_docs._(2020);total_docs._(3years);total_refs.;type;type_publication;year
The burgeoning demands for quality, safety, and value in cardiothoracic surgery, in combination with the advancement and acceleration of digital health solutions and information technology, provide a unique opportunity to improve efficiency and effectiveness simultaneously in cardiothoracic surgery. This primer on digital health explores and reviews data integration, data processing, complex modeling, telehealth with remote monitoring, and cybersecurity as they shape the future of cardiothoracic surgery.;Ronald D. Baxter and James I. Fann and J. Michael DiMaio and Kevin Lobdell;"Cardiology and Cardiovascular Medicine (Q1); Pulmonary and Respiratory Medicine (Q1); Surgery (Q1)";2269.0;213.0;United States;1965-2020;10.1016/j.athoracsur.2020.02.072;0.0351;197.0;;00034975;15526259;00034975;15526259;4.33;;Elsevier USA;;1370.0;Northern America;1130.0;Q1;20489.0;Annals of thoracic surgery;Digital health primer for cardiothoracic surgeons;41620.0;6373.0;1111.0;2981.0;15218.0;journal;article;2020
"Objectives
To understand how health status preceding traumatic brain injury (TBI) affects relative functional gain after inpatient rehabilitation using a data mining approach.
Design
Population-based, sex-stratified, retrospective cohort study using health administrative data from Ontario, Canada (39% of the Canadian population).
Setting
Inpatient rehabilitation.
Participants
Patients 14 years or older (N=5802; 63.4% male) admitted to inpatient rehabilitation within 1 year of a TBI-related acute care discharge between April 1, 2008, and March 31, 2015.
Interventions
Not applicable.
Main Outcome Measures
Relative functional gain (RFG) in percentage, calculated as ([discharge FIM−admission FIM]/[126−admission FIM]×100). Health status prior to TBI was identified and internally validated using a data mining approach that categorized all International Classification of Diseases, 10th revision, codes for each patient.
Results
The average RFG was 52.8%±27.6% among male patients and 51.6%±27.1% among female patients. Sex-specific Bonferroni adjusted multivariable linear regressions identified 10 factors of preinjury health status related to neurology, emergency medicine, cardiology, psychiatry, geriatrics, and gastroenterology that were significantly associated with reduced RFG in FIM for male patients. Only 1 preinjury health status category, geriatrics, was significantly associated with RFG in female patients.
Conclusions
Comorbid health conditions present up to 5 years preceding the TBI event were significantly associated with RFG. These findings should be considered when planning and executing interventions to maximize functional gain and to support an interdisciplinary approach. Best practices guidelines and clinical interventions for older male and female patients with TBI should be developed given the increasingly aging population with TBI.";Vincy Chan and Mitchell Sutton and Tatyana Mollayeva and Michael D. Escobar and Mackenzie Hurst and Angela Colantonio;"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Sports Science (Q1)";829.0;329.0;United Kingdom;1945-2020;10.1016/j.apmr.2020.05.017;0.01786;188.0;;00039993;1532821X;00039993;1532821X;3.966;Brain injuries, Comorbidity, Data mining, International Classification of Diseases, Rehabilitation;W.B. Saunders Ltd;;3866.0;Western Europe;1305.0;Q1;16270.0;Archives of physical medicine and rehabilitation;Data mining to understand how health status preceding traumatic brain injury affects functional outcome: a population-based sex-stratified study;30690.0;3351.0;289.0;917.0;11172.0;journal;article;2020
The rigor and reproducibility of science methods depends heavily on the appropriate use of statistical methods to answer research questions and make meaningful and accurate inferences based on data. The increasing analytic complexity and valuation of novel statistical and methodological approaches to data place greater emphasis on statistical review. We will outline the controversies within statistical sciences that threaten rigor and reproducibility of research published in the behavioral sciences and discuss ongoing approaches to generate reliable and valid inferences from data. We outline nine major areas to consider for generally evaluating the rigor and reproducibility of published articles and apply this framework to the 116 Behaviour Research and Therapy (BRAT) articles published in 2018. The results of our analysis highlight a pattern of missing rigor and reproducibility elements, especially pre-registration of study hypotheses, links to statistical code/output, and explicit archiving or sharing data used in analyses. We recommend reviewers consider these elements in their peer review and that journals consider publishing results of these rigor and reproducibility ratings with manuscripts to incentivize authors to publish these elements with their manuscript.;Tom Hildebrandt and Jason M. Prenoveau;"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Psychiatry and Mental Health (Q1)";413.0;413.0;United Kingdom;1963-2020;10.1016/j.brat.2020.103552;0.01417;185.0;;00057967;00057967;1873622X;00057967;4.473;Statistics, Big data, Reproducibility, Reliability, -hacking;Elsevier Ltd.;;6426.0;Western Europe;2506.0;Q1;12127.0;Behaviour research and therapy;Rigor and reproducibility for data analysis and design in the behavioral sciences;22841.0;2304.0;143.0;423.0;9189.0;journal;article;2020
"Complete blood count (CBC) analysis is one of the most commonly ordered laboratory tests and is a critical first step in patients' clinical evaluation. However, CBC analyzers are limited in their ability to positively identify several types of white blood cells (WBC), and cells with substantial clinical significance, such as immature granulocytes or blasts, are merely marked as flags. Also, CBC analyzers fall short of recognizing informative red blood cell (RBC) morphology, such as schistocytes, and often provide inaccurate platelets count. Flags and clinically non-sufficient CBC-derived data reflex to generation of blood smear (BS), and BS review comprises a substantial portion of the workload in routine hematology laboratories. For accurate identification and classification of WBC, BS analysis (BSA) requires detailed observation of cells with high-magnification objective (60-100X), which provides a relatively narrow Field of View (FOV). This physical limitation restricts current BSA to either low resolution/wide FOV or to high resolution/narrow FOV data generation (Fig. 1A). Hence, key issues of BSA such as the effects of the smearing process on the distribution of blood components, the effects of cells distribution on their morphology and further classification, as well as many other attributes, are addressed only qualitatively or empirically, leaving the real topology of the BS obscure. The computational imaging microscopy system presented herein uses a low resolution and wide FOV objective, and records a plurality of images under different illumination conditions, of the same sample area (Fig. 1B). An algorithm reconstructs a high resolution and aberration free image of whole specimens, as can be observed in the attached link (https://tinyurl.com/Scopio-Labs-X100-ASH-2020). High resolution images are critical not only for manual BSA, but also for artificial intelligence (AI)-derived BSA, since data quality is of prime importance for deep-learning processes, and to a large extent determine their outcome. Thus, the combination of high resolution/wide FOV turns each BS into a big data analytic field, rendering the measurement of yet undetermined cell characteristics. In order to elucidate the basic topology, 60 normal BS (28 females, 32 males) were subjected to analysis utilizing this novel computational imaging microscopy. For convenience of analysis and comparison with current BSA methodology, BS were segmented into strips according to RBC density (Fig. 1C, D). The average length of smear from females (F) was higher by nearly 28% compared with smear from males (M), and the presence of acute inflammation (A) resulted in a significant 33% increase in overall smear length compared to normal (N) average (Fig. 1E). As expected, RBC density formed a linear gradient (Fig. 1C) along the axis of sample smearing, however, RBC morphology was affected by location within the BS. For example, strips 4-5 contained RBC with the appearance of spherocytes (Fig. 1F; arrows), while in strips with increased RBC density, cells aggregated resembling rouleaux formation (Fig. 1F; arrowheads). Platelets distribution was non-linear, with only a few of them reaching the feathered edge of the smear (Fig. 1G). Since the variance of both RBC/FOV and platelets/FOV concentrations drops starting with strip 4, BS-derived platelets number estimates should not be performed in strips 1-3. On average, a normal BS contains 890+399 WBC in the scanned area (strips 1-8). Similar to RBC, the location of individual WBC throughout the BS may affect their morphology, and hence their classification. WBC in the feathered edge (strips 1-3) are generally more stretched, and often squeezed between RBC, rendering their classification by AI-based tools challenging (Fig. 1H). In strips 4-7, WBC morphology is optimal for a classification task, enabling favorable outcomes for either manual or AI cell analysis (Fig. 1H). These data indicate that BSA can be taken to a sensitivity level of at least 10-3 of WBC analysis, provided that a large portion of the BS is scanned. Our system provides a novel combination of computational imaging microscopy and AI-based classification tools to unravel the complex topology of blood smears, and upgrade the data obtained in BSA. This approach enables the establishment of quantitative rules to scientifically direct the objective analysis of cellular blood components both manually, and by AI-tools. Figure
Disclosures
Katz: Scopio Labs: Consultancy.";Ben Zion Katz and Irit Avivi and Dan Benisty and Shahar Karni and Hadar Shimoni and Omri Grooper and Olga Pozdnyakova;"Biochemistry (Q1); Cell Biology (Q1); Hematology (Q1); Immunology (Q1)";2041.0;741.0;United States;1946-2020;10.1182/blood-2020-134903;0.18725;465.0;;00064971;15280020;00064971;15280020;22.113;;American Society of Hematology;;3106.0;Northern America;5515.0;Q1;25454.0;Blood;A novel approach to blood smear analysis based on specimen topology: implications for human and artificial intelligence decision making;200027.0;22558.0;853.0;2755.0;26498.0;journal;article;2020
Celiac disease (CD) has been on the rise in the world and a large part of it remains undiagnosed. Novel methods are required to address the gaps in prompt detection and management. Artificial intelligence (AI) has seen an exponential surge in the last decade worldwide. With the advent of big data and powerful computational ability, we now have self-driving cars and smart devices in our daily lives. Huge databases in the form of electronic medical records and images have rendered healthcare a lucrative sector where AI can prove revolutionary. It is being used extensively to overcome the barriers in clinical workflows. From the perspective of a disease, it can be deployed in multiple steps i.e. screening tools, diagnosis, developing novel therapeutic agents, proposing management plans, and defining prognostic indicators, etc. We review the areas where it may augment physicians in the delivery of better healthcare by summarizing current literature on the use of AI in healthcare using CD as a model. We further outline major barriers to its large-scale implementations and prospects from the healthcare point of view.;Muhammad Khawar Sana and Zeshan M. Hussain and Pir Ahmad Shah and Muhammad Haisum Maqsood;"Computer Science Applications (Q1); Health Informatics (Q2)";923.0;559.0;United Kingdom;1970-2020;10.1016/j.compbiomed.2020.103996;0.01186;94.0;;00104825;00104825;18790534;00104825;4.589;Artificial intelligence, Machine learning, Deep learning, Celiac disease, Systematic review;Elsevier Ltd.;;5216.0;Western Europe;884.0;Q1;17957.0;Computers in biology and medicine;Artificial intelligence in celiac disease;9751.0;5223.0;383.0;936.0;19977.0;journal;article;2020
"Coseismic slip distributions of repeated earthquakes are important data used to forecast magnitude and recurrence characteristics of future earthquakes. Many studies infer coseismic slip of past individual paleoearthquakes from frequency histograms of geomorphic offsets. Such histograms, often expressed as a COPD (cumulative offset probability distribution), commonly show multiple peaks with similar displacements, which are interpreted to be incremental slip associated with successive paleoearthquakes. However, assumptions in linking COPD peaks to individual earthquakes have not been fully explored. Here, we combine statistical modeling with global historical coseismic surface rupture data to evaluate the conditions required for the approach. The results show that only coseismic slip with low variability allow more than one event identification; for example, even low CoVs (coefficient of offset variation) of 0.25 and 0.35 permit identification of only 2 to 3 events. In contrast, the mean CoV value for all historical ruptures is 0.58 to 0.66. Furthermore, interpreting the first COPD peak as a single-event slip distribution could result in artificially low variation and flatter distribution of offset than observed in historical earthquakes. This study cautions that robust COPD interpretation on large strike-slip faults requires low offset variability, a sufficient number of offset measurements, and additional constraints like historical coseismic slip data or paleoseismic event sequence data.";Zhou Lin and Jing Liu-Zeng and Ray J. Weldon and Jing Tian and Chao Ding and Yu Du;"Earth and Planetary Sciences (miscellaneous) (Q1); Geochemistry and Petrology (Q1); Geophysics (Q1); Space and Planetary Science (Q1)";1673.0;522.0;Netherlands;1966-2020;10.1016/j.epsl.2020.116313;0.06549;248.0;;0012821X;0012821X;0012821X;0012821X;5.255;geomorphic offset,  (coefficient of offset variation), COPD (cumulative offset probability distribution), global historical coseismic surface ruptures, strike-slip fault, earthquake recurrence models;Elsevier BV;;5457.0;Western Europe;2829.0;Q1;22566.0;Earth and planetary science letters;Modeling repeated coseismic slip to identify and characterize individual earthquakes from geomorphic offsets on strike-slip faults;74499.0;9373.0;543.0;1692.0;29632.0;journal;article;2020
"Introduction
The extent of the biological impact of passive smoke exposure is unclear. We sought to investigate the association between passive smoke exposure and DNA methylation, which could serve as a biomarker of health risk.
Materials and methods
We derived passive smoke exposure from self-reported questionnaire data among smoking and non-smoking partners of participants enrolled in the UK Household Longitudinal Study ‘Understanding Society’ (n=769). We performed an epigenome-wide association study (EWAS) of passive smoke exposure with DNA methylation in peripheral blood measured using the Illumina Infinium Methylation EPIC array.
Results
No CpG sites surpassed the epigenome-wide significance threshold of p<5.97 × 10−8 in relation to partner smoking, compared with 10 CpG sites identified in relation to own smoking. However, 10 CpG sites surpassed a less stringent threshold of p<1 × 10−5 in a model of partner smoking adjusted for own smoking (model 1), 7 CpG sites in a model of partner smoking restricted to non-smokers (model 2) and 16 CpGs in a model restricted to regular smokers (model 3). In addition, there was evidence for an interaction between own smoking status and partners’ smoking status on DNA methylation levels at the majority of CpG sites identified in models 2 and 3. There was a clear lack of enrichment for previously identified smoking signals in the EWAS of passive smoke exposure compared with the EWAS of own smoking.
Conclusion
The DNA methylation signature associated with passive smoke exposure is much less pronounced than that of own smoking, with no positive findings for ‘expected’ signals. It is unlikely that changes to DNA methylation serve as an important mechanism underlying the health risks of passive smoke exposure.";Paige M. Hulls and Frank {de Vocht} and Yanchun Bao and Caroline L. Relton and Richard M. Martin and Rebecca C. Richmond;"Biochemistry (Q1); Environmental Science (miscellaneous) (Q1)";1650.0;628.0;United States;1967-2020;10.1016/j.envres.2020.109971;0.03426;136.0;;00139351;10960953;00139351;10960953;6.498;DNA methylation, EWAS, Understanding society, Passive smoke exposure;Academic Press Inc.;;5969.0;Northern America;1460.0;Q1;21524.0;Environmental research;Dna methylation signature of passive smoke exposure is less pronounced than active smoking: the understanding society study;28576.0;11076.0;1355.0;1688.0;80881.0;journal;article;2020
Studies have indicated that detection of circulating tumor DNA (ctDNA) prior to treatment is a negative prognostic marker in non-small cell lung cancer (NSCLC). ctDNA is currently identified by detection of tumor mutations. Commercial next-generation sequencing (NGS) assays for mutation analysis of ctDNA for routine practice usually include small gene panels and are not suitable for general mutation analysis. In this study, we investigated whether mutation analysis of cfDNA could be performed using a commercially available comprehensive NGS gene panel and bioinformatics workflow. Tumor DNA, plasma DNA and peripheral blood leukocyte DNA from 30 NSCLC patients were sequenced. In two patients (7%), tumor mutations in cfDNA were immediately called by the bioinformatic workflow. In 13 patients (43%), tumor mutations were not called, but were present in ctDNA and were identified based on the known tumor mutation profile. In the remaining 15 patients (50%), no concordant mutations were detected. In conclusion, we were able to identify tumor mutations in ctDNA from 57% of NSCLC patients using a comprehensive gene panel. We demonstrated that sequencing paired tumor DNA was helpful to interpret data and confirm ctDNA, and thus increased the ratio of patients with detectable ctDNA. This approach might be feasible for mutation analysis of ctDNA in routine diagnostic practice, especially in case of suboptimal plasma quality and quantity.;Anine Larsen Ottestad and Sissel G.F. Wahl and Bjørn Henning Grønberg and Frank Skorpen and Hong Yan Dai;"Clinical Biochemistry (Q2); Pathology and Forensic Medicine (Q2); Molecular Biology (Q3)";327.0;306.0;United States;1962-1995, 1997-2020;10.1016/j.yexmp.2019.104347;0.00369;68.0;;00144800;10960945;00144800;10960945;3.362;Non-small cell lung cancer (NSCLC), Next-generation sequencing (NGS), Circulating tumor DNA (ctDNA);Academic Press Inc.;;4805.0;Northern America;791.0;Q2;13247.0;Experimental and molecular pathology;The relevance of tumor mutation profiling in interpretation of ngs data from cell-free dna in non-small cell lung cancer patients;4792.0;986.0;170.0;329.0;8168.0;journal;article;2020
The pedotransfer function is a mathematical model used to convert direct soil measurements into known and unknown soil properties. It provides information for modelling and simulation in soil research, hydrology, environmental science and climate change impacts, including investigating the carbon cycle and the exchange of carbon between soils and the atmosphere to support carbon farming. In particular, the pedotransfer function can provide input parameters for landscape design, soil quality assessment and economic optimisation. The objective of the study was to investigate the feasibility of using a generalised pedotransfer function derived with a machine learning method to predict soil electrical conductivity (EC) and soil organic carbon content (OC) for different regional locations in the state of Victoria, Australia. This strategy supports a unified approach to the interpolation and population of a single regional soils database, in contrast to a range of pedotransfer functions derived from local databases with measurement sets that may have limited transferability. The pedotransfer function generation was based on a machine learning algorithm incorporating the Generalized Linear Mixed Model with interactions and nested terms, with Residual Maximum Likelihood estimation, and a predictor-frequency ranking system with step-wise reduction of predictors to evaluate the predictive errors in reduced models. The source of the data was the Victorian Soil Information System (VSIS), which is a database administered for soil information and mapping purposes. The database contains soil measurements and information from locations across Victoria and is a repository of historical data, including monitoring studies. In total, data from 93 projects were available for inputs to modelling and analysis, with 5158 samples used to derive predictors for EC and 1954 samples used to derive predictors for OC. Over 500 models were tested by systematically reducing the number of predictors from the full model. Five-fold cross-validation was used for estimation of model mean-squared prediction error (MSPE) and mean-absolute percentage error (MAPE). The results were statistically significant with only a gradual reduction in error for the top-ranked 50 models. The prediction errors (MSPE and MAPE) of the top ranked model for EC are 0.686 and 0.635, and 0.413 and 0.474 for OC respectively. The four most frequently occurring predictors both for EC and OC prediction across the full set of models were found to be soil depth, pH, particle size distribution and geomorphological mapping unit. The possible advantages and disadvantages of this approach were discussed with respect to other machine learning approaches.;K.K. Benke and S. Norng and N.J. Robinson and K. Chia and D.B. Rees and J. Hopley;Soil Science (Q1);1460.0;613.0;Netherlands;1967-2021;10.1016/j.geoderma.2020.114210;0.02441;165.0;;00167061;18726259;00167061;18726259;6.114;Artificial intelligence, Big data, Biostatistics, Carbon farming, Climate change, Predictive analytics, Regional analysis, Simulation;Elsevier;;6319.0;Western Europe;1846.0;Q1;39112.0;Geoderma;Development of pedotransfer functions by machine learning for prediction of soil electrical conductivity and organic carbon content;33708.0;9006.0;543.0;1472.0;34310.0;journal;article;2020
"The process of cleaning motion capture data of aberrant points has been described as “the bane of motion capture operators”. Yet, managing the high volume kinematic data generated through in-home neurogames requires data quality control that, executed insufficiently, jeopardizes accuracy of outcomes. To begin to address this issue at the intersection of biomechanics and “big data”, we performed a secondary analysis of a neurogame, evaluating gesture count as well as shoulder and elbow joint angle outcomes calculated from kinematic data in which valid gestures were identified through 3 methods: visual review of regions of interest by an expert (BP); manufacturer-recommended data smoothing (MS); and automated methods (AI). We hypothesized that upper extremity kinematic outcomes from BP would be matched by AI but not MS methods. From one person with post-stroke hemiparesis, upper-extremity kinematic data were collected for 6 days over 2 weeks using a Microsoft Kinect™-based neurogame. We calculated gesture count, shoulder angle, and elbow angle outcomes from data managed using BP, MS, and AI methods. BP identified 1929 valid gestures total over 6 days which was different than the other two methods (p = 0.0015). In contrast, the AI algorithm with best precision identified 4372 and MS identified 4459 valid gestures. Furthermore, angle outcomes calculated from AI and MS methods resulted in different values than BP (p < 0.001 for 5 of 6 variables). More research is needed to automate treatment of high volume, low quality motion data to support investigation of motion associated with in-home rehabilitation neurogames.";Lise C. Worthen-Chaudhari and Michael P. McNally and Akshay Deshpande and Vivek Bakaraju;"Rehabilitation (Q1); Biomedical Engineering (Q2); Biophysics (Q2); Orthopedics and Sports Medicine (Q2); Sports Science (Q2)";1361.0;266.0;United Kingdom;1968-2020;10.1016/j.jbiomech.2020.109726;0.01862;199.0;;00219290;18732380;00219290;18732380;2.712;;Elsevier Ltd.;;3796.0;Western Europe;826.0;Q1;15846.0;Journal of biomechanics;In-home neurogaming: demonstrating the impact of valid gesture recognition method on high volume kinematic outcomes;35320.0;3948.0;510.0;1383.0;19358.0;journal;article;2020
