title;abstract;publication_year;authors;doi;content_type;issn;isbn
Data system for the monitoring of power quality in the transmission substations supplying big consumers;During 2006, at CN Transelectrica - OMEPA Branch request, ISPE - Power Systems Department has conceived the designing documentations (Feasibility Study and Tender Documents) for “Power Quality Analyzing System at the big consumers”. The present paper reports the purpose and technical endowment proposed by ISPE for “Power Quality Monitoring and Analyzing System” that will be developed at OMEPA.;2007;Fanica Vatra;10.1109/EPQU.2007.4424094;Conferences;2150-6655;978-84-690-9441-9
Gas Emergence Big Data and neural network filter;The gas supervision is a safety core of the coal mine production, which widespread existent a trouble, gas emergence big data, namely the pulse interference, the cause of the gas signal mistake alarm, is hardly resolved very often. In this paper, the reason and characteristics of gas emergence big data are analyzed to establish a kind of filter based on BP Neural Network. Through great quantities monitor data as training sample to train the network model, and tested by test samples, we get the needed network model. Results show that the model can guarantee alarm occurrence while the gas density is beyond the limit, meanwhile preventing supervision system from mistake alarm caused by pulse interference. Applying this research can promote the robustness of existing coal mine safety supervision system without update any device, which can improve the safety production in both social meaning and economic value.;2008;Li Kun;10.1109/CHICC.2008.4605537;Conferences;2161-2927;978-7-900719-70-6
Big Data;This introduction to the special issue on big data discusses the significant scientific opportunities offered by massive amounts of data, along with some directions for future research.;2011;Francis J. Alexander;10.1109/MCSE.2011.99;Magazines;1558-366X;
Entertainment in the Age of Big Data;Everybody loves a good story. People all over the world seek out and crave entertainment. This will not change in the coming age of big data and cloud computing. But stories are more than just a distraction from the big problems of the world we are all supposed to be solving. Stories are (computationally) one of the most challenging problems facing our computers. Humans are hardcoded for story. Our computers are not. Or not yet. Through our research we examine a future of entertainment where increasing computational power allows us to be genuinely connected to a truly digital world. We argue that a genuinely digital and connected future opens the door for a new kind of storytelling, and ultimately, a new way of managing and interacting with the massive data sets collected and shared by humans.;2012;Tawny Schlieski;10.1109/JPROC.2012.2189918;Journals;1558-2256;
Big data challenges for large radio arrays;"Future large radio astronomy arrays, particularly the Square Kilometre Array (SKA), will be able to generate data at rates far higher than can be analyzed or stored affordably with current practices. This is, by definition, a ""big data"" problem, and requires an end-to-end solution if future radio arrays are to reach their full scientific potential. Similar data processing, transport, storage, and management challenges face next-generation facilities in many other fields. The Jet Propulsion Laboratory is developing technologies to address big data issues, with an emphasis in three areas: 1) Lower-power digital processing architectures to make highvolume data generation operationally affordable, 2) Date-adaptive machine learning algorithms for real-time analysis (or ""data triage"") of large data volumes, and 3) Scalable data archive systems that allow efficient data mining and remote user code to run locally where the data are stored.1";2012;Dayton L. Jones;10.1109/AERO.2012.6187090;Conferences;1095-323X;978-1-4577-0555-7
Considerations for big data: Architecture and approach;The amount of data in our industry and the world is exploding. Data is being collected and stored at unprecedented rates. The challenge is not only to store and manage the vast volume of data (“big data”), but also to analyze and extract meaningful value from it. There are several approaches to collecting, storing, processing, and analyzing big data. The main focus of the paper is on unstructured data analysis. Unstructured data refers to information that either does not have a pre-defined data model or does not fit well into relational tables. Unstructured data is the fastest growing type of data, some example could be imagery, sensors, telemetry, video, documents, log files, and email data files. There are several techniques to address this problem space of unstructured analytics. The techniques share a common characteristics of scale-out, elasticity and high availability. MapReduce, in conjunction with the Hadoop Distributed File System (HDFS) and HBase database, as part of the Apache Hadoop project is a modern approach to analyze unstructured data. Hadoop clusters are an effective means of processing massive volumes of data, and can be improved with the right architectural approach.;2012;Kapil Bakshi;10.1109/AERO.2012.6187357;Conferences;1095-323X;978-1-4577-0555-7
From Databases to Big Data;"There is a tremendous amount of buzz around the concept of ""big data."" In this article, the author discusses the origins of this trend, the relationship between big data and traditional databases and data processing platforms, and some of the new challenges that big data presents.";2012;Sam Madden;10.1109/MIC.2012.50;Magazines;1941-0131;
Big data privacy issues in public social media;Big Data is a new label given to a diverse field of data intensive informatics in which the datasets are so large that they become hard to work with effectively. The term has been mainly used in two contexts, firstly as a technological challenge when dealing with dataintensive domains such as high energy physics, astronomy or internet search, and secondly as a sociological problem when data about us is collected and mined by companies such as Facebook, Google, mobile phone companies, retail chains and governments. In this paper we look at this second issue from a new perspective, namely how can the user gain awareness of the personally relevant part Big Data that is publicly available in the social web. The amount of user-generated media uploaded to the web is expanding rapidly and it is beyond the capabilities of any human to sift through it all to see which media impacts our privacy. Based on an analysis of social media in Flickr, Locr, Facebook and Google+, we discuss privacy implications and potential of the emerging trend of geo-tagged social media. We then present a concept with which users can stay informed about which parts of the social Big Data deluge is relevant to them.;2012;Matthew Smith;10.1109/DEST.2012.6227909;Conferences;2150-4938;978-1-4673-1701-6
How Different is Big Data?;One buzzword that has been popular in the last couple of years is Big Data. In simplest terms, Big Data symbolizes the aspiration to build platforms and tools to ingest, store and analyze data that can be voluminous, diverse, and possibly fast changing. In this talk, I will try to reflect on a few of the technical problems presented by the exploration of Big Data. Some of these challenges in data analytics have been addressed by our community in the past in a more traditional relational database context but only with mixed results. I will review these quests and study some of the key lessons learned. At the same time, significant developments such as the emergence of cloud infrastructure and availability of data rich web services hold the potential for transforming our industry. I will discuss the unique opportunities they present for Big Data Analytics.;2012;Surajit Chaudhuri;10.1109/ICDE.2012.153;Conferences;1063-6382;978-1-4673-0042-1
Temporal Analytics on Big Data for Web Advertising;"""Big Data"" in map-reduce (M-R) clusters is often fundamentally temporal in nature, as are many analytics tasks over such data. For instance, display advertising uses Behavioral Targeting (BT) to select ads for users based on prior searches, page views, etc. Previous work on BT has focused on techniques that scale well for offline data using M-R. However, this approach has limitations for BT-style applications that deal with temporal data: (1) many queries are temporal and not easily expressible in M-R, and moreover, the set-oriented nature of M-R front-ends such as SCOPE is not suitable for temporal processing, (2) as commercial systems mature, they may need to also directly analyze and react to real-time data feeds since a high turnaround time can result in missed opportunities, but it is difficult for current solutions to naturally also operate over real-time streams. Our contributions are twofold. First, we propose a novel framework called TiMR (pronounced timer), that combines a time-oriented data processing system with a M-R framework. Users write and submit analysis algorithms as temporal queries - these queries are succinct, scale-out-agnostic, and easy to write. They scale well on large-scale offline data using TiMR, and can work unmodified over real-time streams. We also propose new cost-based query fragmentation and temporal partitioning schemes for improving efficiency with TiMR. Second, we show the feasibility of this approach for BT, with new temporal algorithms that exploit new targeting opportunities. Experiments using real data from a commercial ad platform show that TiMR is very efficient and incurs orders-of-magnitude lower development effort. Our BT solution is easy and succinct, and performs up to several times better than current schemes in terms of memory, learning time, and click-through-rate/coverage.";2012;Badrish Chandramouli;10.1109/ICDE.2012.55;Conferences;1063-6382;978-1-4673-0042-1
