search_id;title;abstract;publication_year;authors;doi;content_type;issn;isbn
ieee_20221205_08_11_42;Data system for the monitoring of power quality in the transmission substations supplying big consumers;During 2006, at CN Transelectrica - OMEPA Branch request, ISPE - Power Systems Department has conceived the designing documentations (Feasibility Study and Tender Documents) for “Power Quality Analyzing System at the big consumers”. The present paper reports the purpose and technical endowment proposed by ISPE for “Power Quality Monitoring and Analyzing System” that will be developed at OMEPA.;2007;Fanica Vatra;10.1109/EPQU.2007.4424094;Conferences;2150-6655;978-84-690-9441-9
ieee_20221205_08_11_42;Gas Emergence Big Data and neural network filter;The gas supervision is a safety core of the coal mine production, which widespread existent a trouble, gas emergence big data, namely the pulse interference, the cause of the gas signal mistake alarm, is hardly resolved very often. In this paper, the reason and characteristics of gas emergence big data are analyzed to establish a kind of filter based on BP Neural Network. Through great quantities monitor data as training sample to train the network model, and tested by test samples, we get the needed network model. Results show that the model can guarantee alarm occurrence while the gas density is beyond the limit, meanwhile preventing supervision system from mistake alarm caused by pulse interference. Applying this research can promote the robustness of existing coal mine safety supervision system without update any device, which can improve the safety production in both social meaning and economic value.;2008;Li Kun;10.1109/CHICC.2008.4605537;Conferences;2161-2927;978-7-900719-70-6
ieee_20221205_08_11_42;Big Data;This introduction to the special issue on big data discusses the significant scientific opportunities offered by massive amounts of data, along with some directions for future research.;2011;Francis J. Alexander;10.1109/MCSE.2011.99;Magazines;1558-366X;
ieee_20221205_08_11_42;Entertainment in the Age of Big Data;Everybody loves a good story. People all over the world seek out and crave entertainment. This will not change in the coming age of big data and cloud computing. But stories are more than just a distraction from the big problems of the world we are all supposed to be solving. Stories are (computationally) one of the most challenging problems facing our computers. Humans are hardcoded for story. Our computers are not. Or not yet. Through our research we examine a future of entertainment where increasing computational power allows us to be genuinely connected to a truly digital world. We argue that a genuinely digital and connected future opens the door for a new kind of storytelling, and ultimately, a new way of managing and interacting with the massive data sets collected and shared by humans.;2012;Tawny Schlieski;10.1109/JPROC.2012.2189918;Journals;1558-2256;
ieee_20221205_08_11_42;Big data challenges for large radio arrays;"Future large radio astronomy arrays, particularly the Square Kilometre Array (SKA), will be able to generate data at rates far higher than can be analyzed or stored affordably with current practices. This is, by definition, a ""big data"" problem, and requires an end-to-end solution if future radio arrays are to reach their full scientific potential. Similar data processing, transport, storage, and management challenges face next-generation facilities in many other fields. The Jet Propulsion Laboratory is developing technologies to address big data issues, with an emphasis in three areas: 1) Lower-power digital processing architectures to make highvolume data generation operationally affordable, 2) Date-adaptive machine learning algorithms for real-time analysis (or ""data triage"") of large data volumes, and 3) Scalable data archive systems that allow efficient data mining and remote user code to run locally where the data are stored.1";2012;Dayton L. Jones;10.1109/AERO.2012.6187090;Conferences;1095-323X;978-1-4577-0555-7
ieee_20221205_08_11_42;Considerations for big data: Architecture and approach;The amount of data in our industry and the world is exploding. Data is being collected and stored at unprecedented rates. The challenge is not only to store and manage the vast volume of data (“big data”), but also to analyze and extract meaningful value from it. There are several approaches to collecting, storing, processing, and analyzing big data. The main focus of the paper is on unstructured data analysis. Unstructured data refers to information that either does not have a pre-defined data model or does not fit well into relational tables. Unstructured data is the fastest growing type of data, some example could be imagery, sensors, telemetry, video, documents, log files, and email data files. There are several techniques to address this problem space of unstructured analytics. The techniques share a common characteristics of scale-out, elasticity and high availability. MapReduce, in conjunction with the Hadoop Distributed File System (HDFS) and HBase database, as part of the Apache Hadoop project is a modern approach to analyze unstructured data. Hadoop clusters are an effective means of processing massive volumes of data, and can be improved with the right architectural approach.;2012;Kapil Bakshi;10.1109/AERO.2012.6187357;Conferences;1095-323X;978-1-4577-0555-7
ieee_20221205_08_11_42;From Databases to Big Data;"There is a tremendous amount of buzz around the concept of ""big data."" In this article, the author discusses the origins of this trend, the relationship between big data and traditional databases and data processing platforms, and some of the new challenges that big data presents.";2012;Sam Madden;10.1109/MIC.2012.50;Magazines;1941-0131;
ieee_20221205_08_11_42;Big data privacy issues in public social media;Big Data is a new label given to a diverse field of data intensive informatics in which the datasets are so large that they become hard to work with effectively. The term has been mainly used in two contexts, firstly as a technological challenge when dealing with dataintensive domains such as high energy physics, astronomy or internet search, and secondly as a sociological problem when data about us is collected and mined by companies such as Facebook, Google, mobile phone companies, retail chains and governments. In this paper we look at this second issue from a new perspective, namely how can the user gain awareness of the personally relevant part Big Data that is publicly available in the social web. The amount of user-generated media uploaded to the web is expanding rapidly and it is beyond the capabilities of any human to sift through it all to see which media impacts our privacy. Based on an analysis of social media in Flickr, Locr, Facebook and Google+, we discuss privacy implications and potential of the emerging trend of geo-tagged social media. We then present a concept with which users can stay informed about which parts of the social Big Data deluge is relevant to them.;2012;Matthew Smith;10.1109/DEST.2012.6227909;Conferences;2150-4938;978-1-4673-1701-6
ieee_20221205_08_11_42;How Different is Big Data?;One buzzword that has been popular in the last couple of years is Big Data. In simplest terms, Big Data symbolizes the aspiration to build platforms and tools to ingest, store and analyze data that can be voluminous, diverse, and possibly fast changing. In this talk, I will try to reflect on a few of the technical problems presented by the exploration of Big Data. Some of these challenges in data analytics have been addressed by our community in the past in a more traditional relational database context but only with mixed results. I will review these quests and study some of the key lessons learned. At the same time, significant developments such as the emergence of cloud infrastructure and availability of data rich web services hold the potential for transforming our industry. I will discuss the unique opportunities they present for Big Data Analytics.;2012;Surajit Chaudhuri;10.1109/ICDE.2012.153;Conferences;1063-6382;978-1-4673-0042-1
ieee_20221205_08_11_42;Temporal Analytics on Big Data for Web Advertising;"""Big Data"" in map-reduce (M-R) clusters is often fundamentally temporal in nature, as are many analytics tasks over such data. For instance, display advertising uses Behavioral Targeting (BT) to select ads for users based on prior searches, page views, etc. Previous work on BT has focused on techniques that scale well for offline data using M-R. However, this approach has limitations for BT-style applications that deal with temporal data: (1) many queries are temporal and not easily expressible in M-R, and moreover, the set-oriented nature of M-R front-ends such as SCOPE is not suitable for temporal processing, (2) as commercial systems mature, they may need to also directly analyze and react to real-time data feeds since a high turnaround time can result in missed opportunities, but it is difficult for current solutions to naturally also operate over real-time streams. Our contributions are twofold. First, we propose a novel framework called TiMR (pronounced timer), that combines a time-oriented data processing system with a M-R framework. Users write and submit analysis algorithms as temporal queries - these queries are succinct, scale-out-agnostic, and easy to write. They scale well on large-scale offline data using TiMR, and can work unmodified over real-time streams. We also propose new cost-based query fragmentation and temporal partitioning schemes for improving efficiency with TiMR. Second, we show the feasibility of this approach for BT, with new temporal algorithms that exploit new targeting opportunities. Experiments using real data from a commercial ad platform show that TiMR is very efficient and incurs orders-of-magnitude lower development effort. Our BT solution is easy and succinct, and performs up to several times better than current schemes in terms of memory, learning time, and click-through-rate/coverage.";2012;Badrish Chandramouli;10.1109/ICDE.2012.55;Conferences;1063-6382;978-1-4673-0042-1
ieee_20221205_08_11_42;Efficient Skyline Computation on Big Data;Skyline is an important operation in many applications to return a set of interesting points from a potentially huge data space. Given a table, the operation finds all tuples that are not dominated by any other tuples. It is found that the existing algorithms cannot process skyline on big data efficiently. This paper presents a novel skyline algorithm SSPL on big data. SSPL utilizes sorted positional index lists which require low space overhead to reduce I/O cost significantly. The sorted positional index list Lj is constructed for each attribute Aj and is arranged in ascending order of Aj. SSPL consists of two phases. In phase 1, SSPL computes scan depth of the involved sorted positional index lists. During retrieving the lists in a round-robin fashion, SSPL performs pruning on any candidate positional index to discard the candidate whose corresponding tuple is not skyline result. Phase 1 ends when there is a candidate positional index seen in all of the involved lists. In phase 2, SSPL exploits the obtained candidate positional indexes to get skyline results by a selective and sequential scan on the table. The experimental results on synthetic and real data sets show that SSPL has a significant advantage over the existing skyline algorithms.;2013;Xixian Han;10.1109/TKDE.2012.203;Journals;2326-3865;
ieee_20221205_08_11_42;Design Principles for Effective Knowledge Discovery from Big Data;Big data phenomenon refers to the practice of collection and processing of very large data sets and associated systems and algorithms used to analyze these massive datasets. Architectures for big data usually range across multiple machines and clusters, and they commonly consist of multiple special purpose sub-systems. Coupled with the knowledge discovery process, big data movement offers many unique opportunities for organizations to benefit (with respect to new insights, business optimizations, etc.). However, due to the difficulty of analyzing such large datasets, big data presents unique systems engineering and architectural challenges. In this paper, we present three system design principles that can inform organizations on effective analytic and data collection processes, system organization, and data dissemination practices. The principles presented derive from our own research and development experiences with big data problems from various federal agencies, and we illustrate each principle with our own experiences and recommendations.;2012;Edmon Begoli;10.1109/WICSA-ECSA.212.32;Conferences;;978-0-7695-4827-2
ieee_20221205_08_11_42;Mastiff: A MapReduce-based System for Time-Based Big Data Analytics;Existing MapReduce-based warehousing systems are not specially optimized for time-based big data analysis applications. Such applications have two characteristics: 1) data are continuously generated and are required to be stored persistently for a long period of time, 2) applications usually process data in some time period so that typical queries use time-related predicates. Time-based big data analytics requires both high data loading speed and high query execution performance. However, existing systems including current MapReduce-based solutions do not solve this problem well because the two requirements are contradictory. We have implemented a MapReduce-based system, called Mastiff, which provides a solution to achieve both high data loading speed and high query performance. Mastiff exploits a systematic combination of a column group store structure and a lightweight helper structure. Furthermore, Mastiff uses an optimized table scan method and a column-based query execution engine to boost query performance. Based on extensive experiments results with diverse workloads, we will show that Mastiff can significantly outperform existing systems including Hive, HadoopDB, and GridSQL.;2012;Sijie Guo;10.1109/CLUSTER.2012.10;Conferences;2168-9253;978-1-4673-2422-9
ieee_20221205_08_11_42;Asian Information HUB Project: NICT's R&D Vsion and Strategies for Universal Communication Technology in the Big Data Era;The Universal Communications Research Institute (UCRI), NICT conducts research and development on universal communication technologies: multi-lingual machine translation, spoken dialogue, information analysis and ultra-realistic interaction technologies, through which people can truly interconnect, anytime, anywhere, about any topic, and by any method, transcending the boundaries of language, culture, ability and distance. To realizing universal communication, UCRI collects diverse information including huge volumes of web pages focusing on information from Asia. This paper introduces NICT's vision and strategies for Asian information hub as a platform for collecting, storing, analyzing large-scale information and providing advanced communication services in Big Data Era.;2012;Michiaki Iwazume;10.1109/COMPSACW.2012.11;Conferences;;978-0-7695-4758-9
ieee_20221205_08_11_42;A Big-Data Perspective on AI: Newton, Merton, and Analytics Intelligence;"The flood of big data in cyberspace will require immediate actions from the AI and intelligent systems community to address how we manage knowledge. Besides new methods and systems, we need a total knowledge-management approach that willl require a new perspective on AI. We need ""Merton's systems"" in which machine intelligence and human intelligence work in tandem. This should become a normal mode of operation for the next generation of AI and intelligent systems.";2012;Fei-Yue Wang;10.1109/MIS.2012.91;Magazines;1941-1294;
ieee_20221205_08_11_42;The larging-up of big data;The term 'Big Data' has been getting big much exposure in IT circles over the last year or two, on a scale that is bound to cause seasoned industry-watchers to sniff the air for the familiar aroma of industry hyperbole. There is the customary amount of hype, of course, but there is more to it than the covert repackaging and repurposing of existing products.;2012;Martin Courtney;10.1049/et.2012.0814;Magazines;1750-9637;
ieee_20221205_08_11_42;A three-dimensional display for big data sets;Facing with high dimensional information in fields of Science, Technology and Commerce, users need effective visualization tools to find more useful information. For big data sets, it is very difficult to get useful information because the dimension is too large for a practical solution. This paper proposes a 3-D visualization method for big data sets. First of all, we employed the K-means clustering method to get the basic vectors. Then, we use these vectors to construct the reduction mapping. Finally, we get the three dimensional display for a sample point. To verify the feasibility of this method, we perform experiment on some well-known databases such as iris, wine and a large data set: Pendigits. The results are favorable. According to the 3-D display results, we can also get messages like classification, outliers, and classification level when given the level standards.;2012;Cheng-Long Ma;10.1109/ICMLC.2012.6359594;Conferences;2160-133X;978-1-4673-1486-2
ieee_20221205_08_11_42;Bias Correction in a Small Sample from Big Data;"This paper discusses the bias problem when estimating the population size of big data such as online social networks (OSN) using uniform random sampling and simple random walk. Unlike the traditional estimation problem where the sample size is not very small relative to the data size, in big data, a small sample relative to the data size is already very large and costly to obtain. We point out that when small samples are used, there is a bias that is no longer negligible. This paper shows analytically that the relative bias can be approximated by the reciprocal of the number of collisions; thereby, a bias correction estimator is introduced. The result is further supported by both simulation studies and the real Twitter network that contains 41.7 million nodes.";2013;Jianguo Lu;10.1109/TKDE.2012.220;Journals;2326-3865;
